"索引","DMM-1 时间 (s)","DMM-1 电阻 (Ω)"
"192","4.665925515","14.3033728170736"
"193","4.685965485","14.2748639673594"
"194","4.706009545","14.2411426468343"
"195","4.726054303","14.2058269083805"
"196","4.768141","14.1384910742555"
"197","4.788182879","14.1181726664906"
"198","4.808226909","14.1066471568714"
"199","4.828268939","14.1067814466147"
"200","4.848312969","14.1267413377254"
"201","4.890403","14.2666490739478"
"202","4.910446727","14.3793810013854"
"203","4.930486697","14.5316372339107"
"204","4.950524636","14.7316193019923"
"205","4.970568666","14.9810224596373"
"206","5.012665","15.6626476282035"
"207","5.032709212","16.0680942355379"
"208","5.052750939","16.5283372182153"
"209","5.072794576","17.067431688509"
"210","5.092838182","17.6565669524108"
"211","5.134934","19.028590475433"
"212","5.154973394","19.7235004724571"
"213","5.175015394","20.4344180532849"
"214","5.195057394","21.1617374630342"
"215","5.215099394","21.8918252127209"
"216","5.257191","23.3684370374636"
"217","5.277231091","24.0103420103992"
"218","5.29727106","24.5800027974917"
"219","5.31731306","25.0666983955657"
"220","5.33735506","25.4626141271743"
"221","5.379452","26.0540722560698"
"222","5.399491879","26.2393551161736"
"223","5.419533879","26.3590713260223"
"224","5.439573848","26.4131518927296"
"225","5.459617879","26.3934926161907"
"226","5.501708","26.1126139520838"
"227","5.521752303","25.8763157806483"
"228","5.541794303","25.5694021581019"
"229","5.561836303","25.1925950457187"
"230","5.581880333","24.7592926156088"
"231","5.623975","23.6970892267724"
"232","5.644014363","23.1155555805162"
"233","5.664054333","22.4976220266746"
"234","5.684094303","21.8563331488156"
"235","5.704138333","21.1975859363394"
"236","5.746228","19.8058170452645"
"237","5.766269394","19.1633257030117"
"238","5.786309333","18.5539115225336"
"239","5.806353394","17.9832787372558"
"240","5.826397424","17.4553808860691"
"241","5.868491","16.5112600291923"
"242","5.888532576","16.1344972594408"
"243","5.908572545","15.8042024318322"
"244","5.928616606","15.5230748931129"
"245","5.948658606","15.2792540266112"
"246","5.990753","14.8789437377522"
"247","6.010792515","14.7329239861623"
"248","6.030832121","14.6041278162771"
"249","6.050875757","14.4902464303775"
"250","6.070919394","14.3843866997338"
"251","6.113009576","14.2403862221363"
"252","6.133051152","14.1878592260003"
"253","6.153091121","14.1366110623256"
"254","6.173133121","14.0964867698392"
"255","6.193173091","14.0641364974213"
"256","6.235265576","14.0231818262461"
"257","6.255309546","14.0319747234297"
"258","6.275353606","14.0423507609918"
"259","6.295395606","14.0460886971071"
"260","6.315437606","14.0581082438246"
"261","6.357532576","14.1031235406864"
"262","6.377574485","14.1242279636842"
"263","6.397614455","14.1474354368897"
"264","6.417658485","14.1704630358537"
"265","6.437702515","14.1927674418055"
"266","6.479793576","14.227989528734"
"267","6.49983494","14.2447350814127"
"268","6.519874879","14.2575554331766"
"269","6.539914849","14.2658210241803"
"270","6.559954818","14.2684144164985"
"271","6.602046576","14.2434500893995"
"272","6.622086606","14.2222397130813"
"273","6.642130637","14.2000585086648"
"274","6.662172637","14.1777984552658"
"275","6.682212606","14.1560866486989"
"276","6.724301576","14.1030607704199"
"277","6.744341212","14.0732225904528"
