"索引","DMM-1 时间 (s)","DMM-1 电阻 (Ω)"
"107","2.587545606","13.2928376432137"
"108","2.607591272","13.2923793470271"
"109","2.627632939","13.2921563588289"
"110","2.647676576","13.2920922959211"
"111","2.689767","13.2922869486024"
"112","2.709808636","13.2922820206865"
"113","2.729848636","13.2925567520026"
"114","2.749888606","13.291208966981"
"115","2.769932636","13.2873011296057"
"116","2.812022","13.2839365949676"
"117","2.832065818","13.2848876827525"
"118","2.852109879","13.283526345962"
"119","2.872151879","13.2835681654567"
"120","2.892194636","13.284255609733"
"121","2.934287","13.2840843646534"
"122","2.954327242","13.2827981785882"
"123","2.974367212","13.2833809046503"
"124","2.994411303","13.2851352427317"
"125","3.014453333","13.2851783619963"
"126","3.056545","13.286426356713"
"127","3.076587242","13.2864115729651"
"128","3.096629242","13.2867195677125"
"129","3.116671272","13.2871556882749"
"130","3.136715303","13.2872431587832"
"131","3.178803","13.2886315991046"
"132","3.198847151","13.2885601443232"
"133","3.218889151","13.2888582832387"
"134","3.238931151","13.2889876410326"
"135","3.258975182","13.2888816908395"
"136","3.301068","13.2898300331698"
"137","3.321109848","13.2888161145805"
"138","3.341149818","13.2897906098467"
"139","3.361191818","13.2895602298028"
"140","3.381233818","13.289193100107"
"141","3.423325","13.2893101380973"
"142","3.443369","13.2891068615879"
"143","3.463408969","13.2879044502354"
"144","3.483450969","13.2908944628917"
"145","3.503495","13.289423480151"
"146","3.545583","13.2918073592156"
"147","3.565627","13.2908661273782"
"148","3.58567103","13.2900591812349"
"149","3.605712666","13.2923235583516"
"150","3.625754303","13.2904743581056"
"151","3.667843","13.2939460744902"
"152","3.687885757","13.2923272542881"
"153","3.707927757","13.2936972147635"
"154","3.727971788","13.2947678043796"
"155","3.748011757","13.2935333615772"
"156","3.790099","13.2946199669183"
"157","3.810142606","13.2920845544557"
"158","3.830184848","13.2920919463288"
"159","3.850226848","13.2916656816485"
"160","3.870268848","13.2913775341821"
"161","3.912358","13.2910880191507"
"162","3.932399909","13.2900765645089"
"163","3.952439909","13.2904720297221"
"164","3.972481909","13.2900938122129"
"165","3.992523939","13.2895652932831"
"166","4.034614","13.2896158044163"
"167","4.054657363","13.2870532883932"
"168","4.074701424","13.2868192124103"
"169","4.094745454","13.2856266568765"
"170","4.114785424","13.2853864209993"
"171","4.156876","13.2840817553895"
"172","4.176917697","13.2849071812238"
"173","4.196961727","13.2836838262186"
"174","4.217005757","13.2833487279694"
"175","4.237049788","13.2800778241034"
"176","4.279144","13.2816908079266"
"177","4.299187788","13.279082709067"
"178","4.319229788","13.2819606112568"
"179","4.339271788","13.2799956052668"
